metric_id,asset_name,asset_type,metric_group_type,metric_type,task_name,metric_value,asset_value,count_tests,count_open_alerts,count_breaking_alerts
104,polaris-bhv4-100,task,environment,num_params,polaris-bhv4-100,196,,,,
106,polaris-bhv4-100,task,resources,tasks_result_size_bytes,polaris-bhv4-100,616187984,,,,
107,polaris-bhv4-100,task,resources,executors_used_vcore_time,polaris-bhv4-100,1077881.969,,,,
108,polaris-bhv4-100,task,resources,shuffle_bytes_written,polaris-bhv4-100,16080878450377,,,,
109,polaris-bhv4-100,task,time,executors_shuffle_read_time,polaris-bhv4-100,151479.205,,,,
110,polaris-bhv4-100,task,resources,num_spark_tasks,polaris-bhv4-100,78654,,,,
111,polaris-bhv4-100,task,resources,shuffle_records_written,polaris-bhv4-100,56583550064,,,,
112,polaris-bhv4-100,task,resources,disk_bytes_spilled,polaris-bhv4-100,0,,,,
113,polaris-bhv4-100,task,resources,output_bytes_written,polaris-bhv4-100,3603191484344,,,,
114,polaris-bhv4-100,task,resources,num_spark_jobs,polaris-bhv4-100,12,,,,
115,polaris-bhv4-100,task,resources,num_spark_tasks_retries,polaris-bhv4-100,0,,,,
116,polaris-bhv4-100,task,resources,shuffle_bytes_read,polaris-bhv4-100,8748421700319,,,,
117,polaris-bhv4-100,task,resources,output_records_written,polaris-bhv4-100,56583549829,,,,
118,polaris-bhv4-100,task,resources,num_spark_stages_failures,polaris-bhv4-100,0,,,,
119,polaris-bhv4-100,task,resources,memory_bytes_spilled,polaris-bhv4-100,0,,1,,
120,polaris-bhv4-100,task,resources,num_spark_stages,polaris-bhv4-100,12,,,,
121,polaris-bhv4-100,task,time,executors_jvm_gc_time,polaris-bhv4-100,3341.766,,,,
122,polaris-bhv4-100,task,resources,num_spark_tasks_failures,polaris-bhv4-100,0,,,,
123,polaris-bhv4-100,task,time,executors_shuffle_write_time,polaris-bhv4-100,388520.807771085,,,,
124,polaris-bhv4-100,task,resources,shuffle_records_read,polaris-bhv4-100,235,,,,
125,polaris-bhv4-100,task,resources,executors_used_vcore_time_of_retried_tasks,polaris-bhv4-100,0,,,,
126,polaris-bhv4-100,task,resources,input_bytes_read,polaris-bhv4-100,0,,,,
127,polaris-bhv4-100,task,resources,num_spark_stages_retries,polaris-bhv4-100,0,,,,
128,polaris-bhv4-100,task,resources,input_records_read,polaris-bhv4-100,56583550260,,,,
129,polaris-bhv4-100,task,resources,executors_python_used_cpu_time,polaris-bhv4-100,0,,,,
130,polaris-bhv4-100,task,resources,executor_managed_execution_memory_on_heap_max_used,polaris-bhv4-100,14.3437466621399,,,,
131,polaris-bhv4-100,task,resources,driver_max_off_heap_used_memory,polaris-bhv4-100,0.901260375976562,,,,
132,polaris-bhv4-100,task,resources,executor_max_heap_used_memory,polaris-bhv4-100,38.2707219868898,,,,
133,polaris-bhv4-100,task,resources,executor_cores,polaris-bhv4-100,6,,,,
134,polaris-bhv4-100,task,resources,broadcasts_failures,polaris-bhv4-100,0,,,,
135,polaris-bhv4-100,task,resources,driver_cores,polaris-bhv4-100,4,,,,
136,polaris-bhv4-100,task,resources,executors_java_used_cpu_time,polaris-bhv4-100,618360.04,,,,
137,polaris-bhv4-100,task,resources,executors_used_cpu_time,polaris-bhv4-100,618360.04,,,,
138,polaris-bhv4-100,task,resources,driver_max_heap_memory_utilization,polaris-bhv4-100,0.418099043890834,,,,
